brand,model,year,mileage,transmission,location,fuel_type,price,grade
Toyota,FORTUNER V (4X4) 2.7,2012,110828,Automatic,Pontianak,Bensin,175000000,C
Toyota,INNOVA V 2.0,2021,105674,Automatic,Jakarta Raya,Bensin,250000000,C
Honda,CIVIC 1.5,2020,29162,Automatic,Medan,Bensin,268000000,C
Toyota,INNOVA G 2.0,2011,135414,Automatic,Berau,Bensin,80000000,C
Honda,BR-V E 1.5,2017,146195,Automatic,Pontianak,Bensin,110000000,C
Daihatsu,AYLA X 1.0,2014,97707,Manual,Jakarta Raya,Bensin,58000000,C
Daihatsu,SIGRA D 1.0,2022,175931,Manual,Balikpapan,Bensin,90000000,C
Mitsubishi,XPANDER SPORT 1.5,2021,200580,Manual,Medan,Bensin,150000000,C
Daihatsu,SIGRA R 1.2,2016,111636,Manual,Jakarta Raya,Bensin,63000000,C
Daihatsu,AYLA M 1.0,2024,12937,Manual,Balikpapan,Bensin,103000000,C
Honda,MOBILIO E 1.5,2016,106421,Manual,Gedangan,Bensin,93000000,C
Honda,BRIO E 1.2,2014,193291,Automatic,Manado,Bensin,81000000,C
Toyota,CAMRY V 2.4,2010,126712,Automatic,Jakarta Raya,Bensin,85000000,C
Mitsubishi,XPANDER SPORT 1.5,2019,106979,Automatic,Gedangan,Bensin,162000000,C
Toyota,INNOVA G 2.4,2022,88936,Manual,Balikpapan,Diesel,270000000,C
Toyota,INNOVA G 2.4,2022,191453,Manual,Medan,Diesel,240000000,C
Toyota,AVANZA G 1.3,2019,104984,Manual,Medan,Bensin,131000000,C
Toyota,INNOVA G 2.0,2022,65468,Automatic,Balikpapan,Bensin,250000000,C
Toyota,AVANZA E 1.3,2019,138863,Manual,Jakarta Raya,Bensin,102000000,C
Suzuki,ERTIGA GX 1.4,2014,110213,Manual,Manado,Bensin,80000000,C
Daihatsu,SIRION M 1.3,2010,139525,Automatic,Manado,Bensin,51000000,C
Toyota,HILUX E DC (4X4) 2.4,2022,192587,Manual,Balikpapan,Diesel,185000000,C
Daihatsu,AYLA X 1.0,2015,144984,Manual,Jakarta Raya,Bensin,67000000,C
Toyota,ALPHARD 2.4,2006,97660,Automatic,Balikpapan,Bensin,75000000,C
Toyota,ALPHARD G 2.4,2011,162460,Automatic,Palembang,Bensin,115000000,C
Daihatsu,GRAN MAX PU AC PS 1.5,2024,33387,Manual,Balikpapan,Bensin,97000000,C
Toyota,HARRIER 2.4,2011,177030,Automatic,Jakarta Raya,Bensin,90000000,C
Honda,HR-V E 1.5,2023,13548,Automatic,Samarinda,Bensin,286000000,C
Land,ROVER RANGE ROVER EVOQUE 2.0,2015,94679,Automatic,Medan,Bensin,210000000,C
Honda,BR-V E 1.5,2019,75125,Manual,Samarinda,Bensin,137000000,C
Toyota,INNOVA G 2.0,2022,120198,Automatic,Gedangan,Bensin,240000000,C
Mitsubishi,XPANDER EXCEED 1.5,2019,138288,Automatic,Jakarta Raya,Bensin,100000000,C
Daihatsu,GRAN MAX MINIBUS 1.5,2018,107993,Manual,Jakarta Raya,Bensin,100000000,C
Honda,BRIO SATYA S 1.2,2020,48145,Manual,Medan,Bensin,118000000,C
Toyota,AVANZA E 1.3,2022,57750,Manual,Palembang,Bensin,125000000,C
